player_name,feet,inches,weight(lbs.),college,high_school_name,high_school_state,draft_team,draft_info,birthday
Frank Wycheck,6,3,253,Maryland,Archbishop Ryan,PA,Washington Redskins,Draft: Washington Redskins in the 6th round (160th overall) of the 1993 NFL Draft.,
Jeff Graham,6,2,200,Ohio St.,Archbishop Alter,OH,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 2nd round (46th overall) of the 1991 NFL Draft.,2/14/1969
Travis Benjamin,5,10,175,Miami (FL),Glades Central,FL,Cleveland Browns,Draft: Cleveland Browns in the 4th round (100th overall) of the 2012 NFL Draft.,
Carlos Hyde,6,0,229,Ohio St.,Naples,FL,San Francisco 49ers,Draft: San Francisco 49ers in the 2nd round (57th overall) of the 2014 NFL Draft.,
Blake Jarwin,6,5,260,Oklahoma St.,Tuttle,OK,,,
Chad Pennington,6,3,230,Marshall,Webb School,TN,New York Jets,Draft: New York Jets in the 1st round (18th overall) of the 2000 NFL Draft.,
DK Metcalf,6,4,235,Mississippi,Oxford,MS,Seattle Seahawks,Draft: Seattle Seahawks in the 2nd round (64th overall) of the 2019 NFL Draft.,
Chris Moore,,,,,,,,,
Jacob Hollister,6,4,239,Wyoming,Mountain View,OR,,,
Dan Marino,6,4,224,Pittsburgh,Central Catholic,PA,Miami Dolphins,Draft: Miami Dolphins in the 1st round (27th overall) of the 1983 NFL Draft.,
Nick Westbrook-Ikhine,6,2,211,Indiana,Lake Mary,FL,,Pronunciation: \uh-KEEN-ay\,
Mark Brunell,6,1,215,Washington,St. Joseph,CA,Green Bay Packers,Draft: Green Bay Packers in the 5th round (118th overall) of the 1993 NFL Draft.,
Zach Miller,,,,,,,,,
K.J. Hamler,,,,,,,,,
Joshua Dobbs,6,3,216,Tennessee,Alpharetta,GA,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 4th round (135th overall) of the 2017 NFL Draft.,
Randy Jordan,5,10,207,North Carolina,Warren Co.,NC,,,
A.J. Green,6,4,207,Georgia,Summerville,SC,Cincinnati Bengals,Draft: Cincinnati Bengals in the 1st round (4th overall) of the 2011 NFL Draft.,7/31/1988
Jerrel Jernigan,5,9,181,Troy,Eufaula,AL,New York Giants,Draft: New York Giants in the 3rd round (83rd overall) of the 2011 NFL Draft.,
Devon Achane,5,9,188,Texas A&M,Thurgood Marshall,TX,Miami Dolphins,Draft: Miami Dolphins in the 3rd round (84th overall) of the 2023 NFL Draft.,
Jeremy Kerley,5,9,188,TCU,Hutto,TX,New York Jets,Draft: New York Jets in the 5th round (153rd overall) of the 2011 NFL Draft.,
Eddie Kennison,6,1,201,LSU,Washington-Marion,LA,St. Louis Rams,Draft: St. Louis Rams in the 1st round (18th overall) of the 1996 NFL Draft.,
Heath Miller,6,5,256,Virginia,Honaker,VA,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 1st round (30th overall) of the 2005 NFL Draft.,
Justin Fargas,6,1,220,Michigan,Notre Dame,CA,Oakland Raiders,Draft: Oakland Raiders in the 3rd round (96th overall) of the 2003 NFL Draft.,
Victor Cruz,6,0,204,Massachusetts,Paterson Catholic,NJ,,"Twitter:
@TeamVic
",
Jake Locker,6,2,228,Washington,Ferndale,WA,Tennessee Titans,Draft: Tennessee Titans in the 1st round (8th overall) of the 2011 NFL Draft.,
Germane Crowell,6,3,213,Virginia,North Forsyth,NC,Detroit Lions,Draft: Detroit Lions in the 2nd round (50th overall) of the 1998 NFL Draft.,
Reggie Williams,6,4,233,Washington,Lakes,WA,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 1st round (9th overall) of the 2004 NFL Draft.,5/17/1983
Darnell Mooney,5,11,173,Tulane,Gadsden City,AL,Chicago Bears,Draft: Chicago Bears in the 5th round (173rd overall) of the 2020 NFL Draft.,
Marion Barber,,,,,,,,,
Seth Roberts,6,2,195,West Alabama,McClay,FL,,,
Felix Jones,5,10,215,Arkansas,Booker T. Washington,OK,Dallas Cowboys,Draft: Dallas Cowboys in the 1st round (22nd overall) of the 2008 NFL Draft.,
Kevin Jones,5,11,221,Virginia Tech,Cardinal O'Hara,PA,Detroit Lions,Draft: Detroit Lions in the 1st round (30th overall) of the 2004 NFL Draft.,
Drew Lock,6,4,228,Missouri,Lee's Summit,MO,Denver Broncos,Draft: Denver Broncos in the 2nd round (42nd overall) of the 2019 NFL Draft.,
Jimmy Garoppolo,6,2,225,Eastern Illinois,Rolling Meadows,IL,New England Patriots,Draft: New England Patriots in the 2nd round (62nd overall) of the 2014 NFL Draft.,
Tony Moeaki,6,4,250,Iowa,Wheaton-Warrenville South,IL,Kansas City Chiefs,Draft: Kansas City Chiefs in the 3rd round (93rd overall) of the 2010 NFL Draft.,
Leonard Fournette,6,0,228,LSU,St. Augustine,LA,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 1st round (4th overall) of the 2017 NFL Draft.,
Mike Thomas,,,,,,,,,
Jake Plummer,6,2,212,Arizona St.,Capital,ID,Arizona Cardinals,Draft: Arizona Cardinals in the 2nd round (42nd overall) of the 1997 NFL Draft.,
Randy McMichael,6,3,248,Georgia,Peach Co.,GA,Miami Dolphins,Draft: Miami Dolphins in the 4th round (114th overall) of the 2002 NFL Draft.,
Jason Tucker,6,1,182,TCU,Robinson,TX,Cincinnati Bengals,Draft: Cincinnati Bengals in the 6th round (167th overall) of the 1998 NFL Draft.,
Pat Johnson,,,,,,,,,
Knile Davis,5,11,227,Arkansas,Thurgood Marshall,TX,Kansas City Chiefs,Draft: Kansas City Chiefs in the 3rd round (96th overall) of the 2013 NFL Draft.,
Santonio Holmes,5,11,192,Ohio St.,Glades Central,FL,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 1st round (25th overall) of the 2006 NFL Draft.,
Jeffery Wilson,6,0,210,North Texas,Elkhart,TX,,,
Jeremy Langford,6,0,211,Michigan St.,John Glenn,MI,Chicago Bears,Draft: Chicago Bears in the 4th round (106th overall) of the 2015 NFL Draft.,
Deon Jackson,5,11,216,Duke,Pace Academy,GA,NA,,2/18/1999
Tyrod Taylor,6,1,217,Virginia Tech,Hampton,VA,Baltimore Ravens,Draft: Baltimore Ravens in the 6th round (180th overall) of the 2011 NFL Draft.,
Troy Aikman,6,4,219,Oklahoma,Henryetta,OK,Dallas Cowboys,Draft: Dallas Cowboys in the 1st round (1st overall) of the 1989 NFL Draft.,
Ryan Moats,5,8,210,Louisiana Tech,Bishop Lynch,TX,Philadelphia Eagles,Draft: Philadelphia Eagles in the 3rd round (77th overall) of the 2005 NFL Draft.,
Jamal Anderson,5,11,237,Utah,El Camino Real,CA,Atlanta Falcons,Draft: Atlanta Falcons in the 7th round (201st overall) of the 1994 NFL Draft.,
Justin Fields,6,3,228,Georgia,Harrison,GA,Chicago Bears,Draft: Chicago Bears in the 1st round (11th overall) of the 2021 NFL Draft.,
Hank Baskett,6,4,220,New Mexico,Clovis,NM,,,
Jalen Richard,5,8,207,Southern Miss,Peabody Magnet,LA,,,
Tre Mason,5,9,207,Auburn,Park Vista,FL,St. Louis Rams,Draft: St. Louis Rams in the 3rd round (75th overall) of the 2014 NFL Draft.,
Robert Woods,,,,,,,,,
JuJu Smith-Schuster,6,1,215,USC,Long Beach Polytechnic,CA,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 2nd round (62nd overall) of the 2017 NFL Draft.,
Cedrick Wilson Jr.,6,2,197,Boise St.,White Station,TN,Dallas Cowboys,Draft: Dallas Cowboys in the 6th round (208th overall) of the 2018 NFL Draft.,
Daniel Thomas,,,,,,,,,
Joe Jurevicius,6,5,232,Penn St.,Lake Catholic,OH,New York Giants,Draft: New York Giants in the 2nd round (55th overall) of the 1998 NFL Draft.,
Tony Romo,6,2,230,Eastern Illinois,Burlington,WI,,,
Earl Bennett,6,1,205,Vanderbilt,West End,AL,Chicago Bears,Draft: Chicago Bears in the 3rd round (70th overall) of the 2008 NFL Draft.,3/23/1987
Chad Lewis,6,6,252,BYU,Orem,UT,,,
Carson Palmer,6,5,235,USC,Santa Margarita Catholic,CA,Cincinnati Bengals,Draft: Cincinnati Bengals in the 1st round (1st overall) of the 2003 NFL Draft.,
George Wrighster,6,3,250,Oregon,Sylmar,CA,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 4th round (104th overall) of the 2003 NFL Draft.,
Garrett Celek,6,5,252,Michigan St.,La Salle,OH,,Pronunciation: \SELL-ick\,
Chris Weinke,6,4,232,Florida St.,Cretin-Derham Hall,MN,Carolina Panthers,Draft: Carolina Panthers in the 4th round (106th overall) of the 2001 NFL Draft.,
Torry Holt,6,0,200,North Carolina St.,Hargrave Military Academy,VA,St. Louis Rams,Draft: St. Louis Rams in the 1st round (6th overall) of the 1999 NFL Draft.,
Legedu Naanee,6,2,225,Boise St.,Franklin,OR,San Diego Chargers,Draft: San Diego Chargers in the 5th round (172nd overall) of the 2007 NFL Draft.,
Dante Hall,5,8,187,Texas A&M,Nimitz,TX,Kansas City Chiefs,Draft: Kansas City Chiefs in the 5th round (153rd overall) of the 2000 NFL Draft.,
Jermaine Gresham,6,5,260,Oklahoma,Ardmore,OK,Cincinnati Bengals,Draft: Cincinnati Bengals in the 1st round (21st overall) of the 2010 NFL Draft.,
Chris Sanders,,,,,,,,,
Pierre Thomas,5,11,210,Illinois,Thornton Fractional South,IL,,"Twitter:
@Pierre_Thomas
",
Ty Chandler,5,11,204,Tennessee,Montgomery Bell Academy,TN,Minnesota Vikings,Draft: Minnesota Vikings in the 5th round (169th overall) of the 2022 NFL Draft.,5/12/1998
Billy Miller,6,3,252,USC,Westlake,CA,Denver Broncos,Draft: Denver Broncos in the 7th round (218th overall) of the 1999 NFL Draft.,
Terrelle Pryor,6,4,228,Ohio St.,Jeannette,PA,Oakland Raiders,Draft: Oakland Raiders in the 3rd round (1st overall) of the 2011 NFL Supplemental Draft.,
Jalen Reagor,5,11,197,TCU,Waxahachie,TX,Philadelphia Eagles,Draft: Philadelphia Eagles in the 1st round (21st overall) of the 2020 NFL Draft.,
Chris Chambers,5,11,210,Wisconsin,Bedford,OH,Miami Dolphins,Draft: Miami Dolphins in the 2nd round (52nd overall) of the 2001 NFL Draft.,
Saquon Barkley,6,0,232,Penn St.,Whitehall,PA,New York Giants,Draft: New York Giants in the 1st round (2nd overall) of the 2018 NFL Draft.,
Sony Michel,5,11,215,Georgia,American Heritage-Plantation,FL,New England Patriots,Draft: New England Patriots in the 1st round (31st overall) of the 2018 NFL Draft.,
Owen Daniels,6,3,245,Wisconsin,Naperville Central,IL,Houston Texans,Draft: Houston Texans in the 4th round (98th overall) of the 2006 NFL Draft.,
Tony Gonzalez,6,5,247,California,Huntington Beach,CA,Kansas City Chiefs,Draft: Kansas City Chiefs in the 1st round (13th overall) of the 1997 NFL Draft.,
Billy Joe Tolliver,6,1,217,Texas Tech,Boyd,TX,San Diego Chargers,Draft: San Diego Chargers in the 2nd round (51st overall) of the 1989 NFL Draft.,
Brady Quinn,6,4,232,Notre Dame,Dublin Coffman,OH,Cleveland Browns,Draft: Cleveland Browns in the 1st round (22nd overall) of the 2007 NFL Draft.,
Steve Beuerlein,6,3,220,Notre Dame,Servite,CA,Los Angeles Raiders,Draft: Los Angeles Raiders in the 4th round (110th overall) of the 1987 NFL Draft.,
Geronimo Allison,6,3,202,Illinois,Spoto,FL,,,
Christian Ponder,6,2,222,Florida St.,Colleyville Heritage,TX,Minnesota Vikings,Draft: Minnesota Vikings in the 1st round (12th overall) of the 2011 NFL Draft.,
Musa Smith,6,0,232,Georgia,West Perry,PA,Baltimore Ravens,Draft: Baltimore Ravens in the 3rd round (77th overall) of the 2003 NFL Draft.,
Tyler Higbee,6,6,255,Western Kentucky,East Lake,FL,Los Angeles Rams,Draft: Los Angeles Rams in the 4th round (110th overall) of the 2016 NFL Draft.,
Tyler Lockett,5,10,182,Kansas St.,Booker T. Washington,OK,Seattle Seahawks,Draft: Seattle Seahawks in the 3rd round (69th overall) of the 2015 NFL Draft.,
Juwan Johnson,6,4,231,Oregon,Glassboro,NJ,,,
Darren McFadden,6,1,220,Arkansas,Oak Grove,AR,Oakland Raiders,Draft: Oakland Raiders in the 1st round (4th overall) of the 2008 NFL Draft.,
Domenik Hixon,6,2,205,Akron,Whitehall-Yearling,OH,Denver Broncos,Draft: Denver Broncos in the 4th round (130th overall) of the 2006 NFL Draft.,
Javon Walker,6,3,215,Florida St.,St. Thomas More,LA,Green Bay Packers,Draft: Green Bay Packers in the 1st round (20th overall) of the 2002 NFL Draft.,
Isiah Pacheco,5,10,216,Rutgers,Vineland South,NJ,Kansas City Chiefs,Draft: Kansas City Chiefs in the 7th round (251st overall) of the 2022 NFL Draft.,
Jabar Gaffney,6,2,200,Florida,William M. Raines,FL,Houston Texans,Draft: Houston Texans in the 2nd round (33rd overall) of the 2002 NFL Draft.,
Justin Gage,6,4,204,Missouri,Jefferson City,MO,Chicago Bears,Draft: Chicago Bears in the 5th round (143rd overall) of the 2003 NFL Draft.,
Zach Pascal,6,2,215,Old Dominion,Wise,MD,,Pronunciation: \PASK-uhl\,
D'Andre Swift,5,9,215,Georgia,St. Joseph's Prep,PA,Detroit Lions,Draft: Detroit Lions in the 2nd round (35th overall) of the 2020 NFL Draft.,
Jordan Addison,5,11,175,Pittsburgh,Tuscarora,MD,Minnesota Vikings,Draft: Minnesota Vikings in the 1st round (23rd overall) of the 2023 NFL Draft.,
Tim Biakabutuka,6,0,215,Michigan,Jacques-Rousseau,Canada,Carolina Panthers,Draft: Carolina Panthers in the 1st round (8th overall) of the 1996 NFL Draft.,
Austin Collie,6,1,200,BYU,Oak Ridge,CA,Indianapolis Colts,Draft: Indianapolis Colts in the 4th round (127th overall) of the 2009 NFL Draft.,
Corey Clement,5,10,220,Wisconsin,Glassboro,NJ,,,
T.J. Hockenson,6,5,248,Iowa,Chariton,IA,Detroit Lions,Draft: Detroit Lions in the 1st round (8th overall) of the 2019 NFL Draft.,
Kyle Brady,6,6,278,Penn St.,Cedar Cliff,PA,New York Jets,Draft: New York Jets in the 1st round (9th overall) of the 1995 NFL Draft.,
Ryan Griffin,6,6,255,Connecticut,Londonderry,NH,Houston Texans,Draft: Houston Texans in the 6th round (201st overall) of the 2013 NFL Draft.,1/11/1990
Seth DeValve,6,3,245,Princeton,Manchester,CT,Cleveland Browns,Draft: Cleveland Browns in the 4th round (138th overall) of the 2016 NFL Draft.,
T.J. Jones,6,0,190,Notre Dame,Gainesville,GA,Detroit Lions,Draft: Detroit Lions in the 6th round (189th overall) of the 2014 NFL Draft.,
Jermaine Kearse,6,1,210,Washington,Lakes,WA,,,
Deebo Samuel,6,0,215,South Carolina,Chapman,SC,San Francisco 49ers,Draft: San Francisco 49ers in the 2nd round (36th overall) of the 2019 NFL Draft.,
Willie Jackson,6,1,212,Florida,P.K. Yonge,FL,Dallas Cowboys,Draft: Dallas Cowboys in the 4th round (109th overall) of the 1994 NFL Draft.,
Kyren Williams,5,9,194,Notre Dame,Vianney,MO,Los Angeles Rams,Draft: Los Angeles Rams in the 5th round (164th overall) of the 2022 NFL Draft.,
Bilal Powell,5,10,204,Louisville,Lake Gibson,FL,New York Jets,Draft: New York Jets in the 4th round (126th overall) of the 2011 NFL Draft.,
Jamal Lewis,5,11,245,Tennessee,Frederick Douglass,GA,Baltimore Ravens,Draft: Baltimore Ravens in the 1st round (5th overall) of the 2000 NFL Draft.,
Ian Thomas,6,4,260,Indiana,Digital Harbor,MD,Carolina Panthers,Draft: Carolina Panthers in the 4th round (101st overall) of the 2018 NFL Draft.,
George Kittle,6,4,250,Iowa,Norman,OK,San Francisco 49ers,Draft: San Francisco 49ers in the 5th round (146th overall) of the 2017 NFL Draft.,
Randall Cobb,5,10,192,Kentucky,Alcoa,TN,Green Bay Packers,Draft: Green Bay Packers in the 2nd round (64th overall) of the 2011 NFL Draft.,
Michael Crabtree,6,1,215,Texas Tech,David W. Carter,TX,San Francisco 49ers,Draft: San Francisco 49ers in the 1st round (10th overall) of the 2009 NFL Draft.,
Olamide Zaccheaus,5,8,193,Virginia,St. Joseph's Prep,PA,,Pronunciation: \oh-LAH-muh-day zah-KEE-us\,
Terrance Copper,6,0,207,East Carolina,Washington,NC,,,
Fred Beasley,6,0,246,Auburn,Percy Julian,AL,San Francisco 49ers,Draft: San Francisco 49ers in the 6th round (180th overall) of the 1998 NFL Draft.,
Ernest Wilford,6,4,235,Virginia Tech,Franklin Armstrong Military,VA,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 4th round (120th overall) of the 2004 NFL Draft.,
Michael Westbrook,6,3,220,Colorado,Chadsey,MI,Washington Redskins,Draft: Washington Redskins in the 1st round (4th overall) of the 1995 NFL Draft.,
A.J. Brown,6,1,226,Mississippi,Starkville,MS,Tennessee Titans,Draft: Tennessee Titans in the 2nd round (51st overall) of the 2019 NFL Draft.,
Jamal Agnew,5,10,190,San Diego,Point Loma,CA,Detroit Lions,Draft: Detroit Lions in the 5th round (165th overall) of the 2017 NFL Draft.,
Elvis Grbac,6,5,232,Michigan,Villa Angela-St. Joseph,OH,San Francisco 49ers,Draft: San Francisco 49ers in the 8th round (219th overall) of the 1993 NFL Draft.,
Gabe Davis,6,2,225,Central Florida,Seminole,FL,Buffalo Bills,Draft: Buffalo Bills in the 4th round (128th overall) of the 2020 NFL Draft.,
Sylvester Morris,6,3,206,Jackson St.,McDonogh 35,LA,Kansas City Chiefs,Draft: Kansas City Chiefs in the 1st round (21st overall) of the 2000 NFL Draft.,
DeVonta Smith,6,0,170,Alabama,Amite,LA,Philadelphia Eagles,Draft: Philadelphia Eagles in the 1st round (10th overall) of the 2021 NFL Draft.,
Darrin Chiaverini,6,2,210,Colorado,Corona,CA,Cleveland Browns,Draft: Cleveland Browns in the 5th round (148th overall) of the 1999 NFL Draft.,
Rashid Shaheed,6,0,180,Weber St.,Mount Carmel,CA,,,
Neil O'Donnell,6,3,228,Maryland,Madison,NJ,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 3rd round (70th overall) of the 1990 NFL Draft.,
Ahman Green,6,0,218,Nebraska,Central,NE,Seattle Seahawks,Draft: Seattle Seahawks in the 3rd round (76th overall) of the 1998 NFL Draft.,
Troy Smith,6,0,225,East Carolina,J.H. Rose,NC,Baltimore Ravens,Draft: Baltimore Ravens in the 5th round (174th overall) of the 2007 NFL Draft.,7/30/1977
Michael Bush,6,2,243,Louisville,Male,KY,Oakland Raiders,Draft: Oakland Raiders in the 4th round (100th overall) of the 2007 NFL Draft.,
Josh Rosen,6,4,226,UCLA,St. John Bosco,CA,Arizona Cardinals,Draft: Arizona Cardinals in the 1st round (10th overall) of the 2018 NFL Draft.,
Nico Collins,6,4,215,Michigan,Clay-Chalkville,AL,Houston Texans,Draft: Houston Texans in the 3rd round (89th overall) of the 2021 NFL Draft.,
Kerryon Johnson,5,11,211,Auburn,Madison Academy,AL,Detroit Lions,Draft: Detroit Lions in the 2nd round (43rd overall) of the 2018 NFL Draft.,
Daniel Jones,,,,,,,,,
Tyler Boyd,6,2,203,Pittsburgh,Clairton,PA,Cincinnati Bengals,Draft: Cincinnati Bengals in the 2nd round (55th overall) of the 2016 NFL Draft.,
Joe Mixon,6,1,220,Oklahoma,Freedom,CA,Cincinnati Bengals,Draft: Cincinnati Bengals in the 2nd round (48th overall) of the 2017 NFL Draft.,
Doug Baldwin,5,10,192,Stanford,Gulf Breeze,FL,,"Twitter:
@DougBaldwinJr
",
Corey Dillon,6,1,225,Washington,Franklin,WA,Cincinnati Bengals,Draft: Cincinnati Bengals in the 2nd round (43rd overall) of the 1997 NFL Draft.,
Hakeem Nicks,6,0,210,North Carolina,Independence,NC,New York Giants,Draft: New York Giants in the 1st round (29th overall) of the 2009 NFL Draft.,
Kevan Barlow,6,1,234,Pittsburgh,Peabody,PA,San Francisco 49ers,Draft: San Francisco 49ers in the 3rd round (80th overall) of the 2001 NFL Draft.,
Reggie Brown,6,0,244,Fresno St.,Henry Ford,MI,Seattle Seahawks,Draft: Seattle Seahawks in the 3rd round (91st overall) of the 1996 NFL Draft.,6/26/1973
Tarvaris Jackson,6,2,225,Arkansas,Sidney Lanier,AL,Minnesota Vikings,Draft: Minnesota Vikings in the 2nd round (64th overall) of the 2006 NFL Draft.,
James Cook,5,11,190,Georgia,Miami Central,FL,Buffalo Bills,Draft: Buffalo Bills in the 2nd round (63rd overall) of the 2022 NFL Draft.,9/25/1999
Selvin Young,5,11,215,Texas,Jersey Village,TX,,,
Brooks Bollinger,6,0,205,Wisconsin,Central,ND,New York Jets,Draft: New York Jets in the 6th round (200th overall) of the 2003 NFL Draft.,
Marcus Robinson,6,3,215,South Carolina,Peach Co.,GA,Chicago Bears,Draft: Chicago Bears in the 4th round (108th overall) of the 1997 NFL Draft.,
Jameson Williams,6,1,180,Ohio St.,Cardinal Ritter,MO,Detroit Lions,Draft: Detroit Lions in the 1st round (12th overall) of the 2022 NFL Draft.,
Khalil Shakir,6,0,190,Boise St.,Vista Murrieta,CA,Buffalo Bills,Draft: Buffalo Bills in the 5th round (148th overall) of the 2022 NFL Draft.,
David Nelson,6,5,217,Florida,S.H. Rider,TX,NA,"Twitter:
@DavidNelson86
",11/7/1986
Isaiah Likely,6,4,241,Coastal Carolina,Everett,MA,Baltimore Ravens,Draft: Baltimore Ravens in the 4th round (139th overall) of the 2022 NFL Draft.,
Ty Montgomery,6,0,220,Stanford,St. Mark's,TX,Green Bay Packers,Draft: Green Bay Packers in the 3rd round (94th overall) of the 2015 NFL Draft.,1/22/1993
Jamison Crowder,5,9,177,Duke,Monroe,NC,Washington Redskins,Draft: Washington Redskins in the 4th round (105th overall) of the 2015 NFL Draft.,
James Stewart,,,,,,,,,
Antwaan Randle El,5,10,185,Indiana,Thornton Twp.,IL,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 2nd round (62nd overall) of the 2002 NFL Draft.,
Tyjae Spears,5,10,200,Tulane,Ponchatoula,LA,Tennessee Titans,Draft: Tennessee Titans in the 3rd round (81st overall) of the 2023 NFL Draft.,
David Moore,,,,,,,,,
Dan Herron,5,10,212,Ohio St.,Warren G. Harding,OH,Cincinnati Bengals,Draft: Cincinnati Bengals in the 6th round (191st overall) of the 2012 NFL Draft.,
Marqise Lee,6,0,196,USC,Junipero Serra,CA,Jacksonville Jaguars,Draft: Jacksonville Jaguars in the 2nd round (39th overall) of the 2014 NFL Draft.,
Shawn Bryson,6,1,228,Tennessee,Franklin,NC,Buffalo Bills,Draft: Buffalo Bills in the 3rd round (86th overall) of the 1999 NFL Draft.,
Kirk Cousins,6,3,205,Michigan St.,Holland Christian,MI,Washington Redskins,Draft: Washington Redskins in the 4th round (102nd overall) of the 2012 NFL Draft.,
DeShaun Foster,6,0,222,UCLA,Tustin,CA,Carolina Panthers,Draft: Carolina Panthers in the 2nd round (34th overall) of the 2002 NFL Draft.,
Kyler Murray,5,10,207,Texas A&M,Allen,TX,Arizona Cardinals,Draft: Arizona Cardinals in the 1st round (1st overall) of the 2019 NFL Draft.,
Noah Brown,6,2,215,Ohio St.,Pope John XXIII,NJ,Dallas Cowboys,Draft: Dallas Cowboys in the 7th round (239th overall) of the 2017 NFL Draft.,
Alex Collins,5,10,210,Arkansas,South Plantation,FL,Seattle Seahawks,Draft: Seattle Seahawks in the 5th round (171st overall) of the 2016 NFL Draft.,
Terrence Wilkins,5,10,180,Virginia,Bishop O'Connell,VA,,,
Diontae Johnson,5,10,183,Toledo,Lennard,FL,Pittsburgh Steelers,Draft: Pittsburgh Steelers in the 3rd round (66th overall) of the 2019 NFL Draft.,
Jonathan Taylor,5,10,226,Wisconsin,Salem,NJ,Indianapolis Colts,Draft: Indianapolis Colts in the 2nd round (41st overall) of the 2020 NFL Draft.,1/19/1999
Oronde Gadsden,6,2,215,Winston-Salem St.,Burke,SC,,Pronunciation: \o-RON-day\,
Derrick Mason,5,10,197,Michigan St.,Mumford,MI,Tennessee Oilers,Draft: Tennessee Oilers in the 4th round (98th overall) of the 1997 NFL Draft.,
Matt Leinart,6,5,225,USC,Mater Dei,CA,Arizona Cardinals,Draft: Arizona Cardinals in the 1st round (10th overall) of the 2006 NFL Draft.,
C.J. Spiller,5,11,194,Clemson,Union Co.,FL,Buffalo Bills,Draft: Buffalo Bills in the 1st round (9th overall) of the 2010 NFL Draft.,
Luke Willson,6,5,255,Rice,St. Thomas of Villanova,Canada,Seattle Seahawks,Draft: Seattle Seahawks in the 5th round (158th overall) of the 2013 NFL Draft.,
Brian Hill,6,1,219,Wyoming,Belleville West,IL,Atlanta Falcons,Draft: Atlanta Falcons in the 5th round (156th overall) of the 2017 NFL Draft.,
Charles D. Johnson,,,,,,,,,
Jaxon Smith-Njigba,6,0,197,Ohio St.,Rockwall,TX,Seattle Seahawks,Draft: Seattle Seahawks in the 1st round (20th overall) of the 2023 NFL Draft.,
David Sloan,6,6,260,New Mexico,Sierra,CA,Detroit Lions,Draft: Detroit Lions in the 3rd round (70th overall) of the 1995 NFL Draft.,
Ahmad Bradshaw,5,11,195,Marshall,Graham,VA,New York Giants,Draft: New York Giants in the 7th round (250th overall) of the 2007 NFL Draft.,
T.J. Houshmandzadeh,6,2,200,Cerritos (CA),Victor Valley,CA,Cincinnati Bengals,Draft: Cincinnati Bengals in the 7th round (204th overall) of the 2001 NFL Draft.,
Yancey Thigpen,6,1,208,Winston-Salem St.,Southwest Edgecombe,NC,San Diego Chargers,Draft: San Diego Chargers in the 4th round (90th overall) of the 1991 NFL Draft.,
Stefon Diggs,6,0,191,Maryland,Our Lady of Good Counsel,MD,Minnesota Vikings,Draft: Minnesota Vikings in the 5th round (146th overall) of the 2015 NFL Draft.,
Dane Looker,6,0,194,Washington,Puyallup,WA,,,
Joe Burrow,6,4,215,Ohio St.,Athens,OH,Cincinnati Bengals,Draft: Cincinnati Bengals in the 1st round (1st overall) of the 2020 NFL Draft.,
Kellen Clemens,6,2,220,Oregon,Burns,OR,New York Jets,Draft: New York Jets in the 2nd round (49th overall) of the 2006 NFL Draft.,
Cory Schlesinger,6,0,247,Nebraska,Columbus,NE,Detroit Lions,Draft: Detroit Lions in the 6th round (192nd overall) of the 1995 NFL Draft.,
Fred Jackson,6,1,215,Coe College,Arlington-Lamar,TX,,"Twitter:
@Fred22Jackson
",
Kelly Holcomb,6,2,212,Middle Tenn. St.,Lincoln Co.,TN,,,
Jerome Harrison,5,9,205,Washington St.,Kalamazoo Central,MI,Cleveland Browns,Draft: Cleveland Browns in the 5th round (145th overall) of the 2006 NFL Draft.,
Jarrett Boykin,6,2,216,Virginia Tech,David W. Butler,NC,,,
Jalen Hurts,6,1,223,Alabama,Channelview,TX,Philadelphia Eagles,Draft: Philadelphia Eagles in the 2nd round (53rd overall) of the 2020 NFL Draft.,
Anthony Thomas,6,2,225,Michigan,Winnfield,LA,Chicago Bears,Draft: Chicago Bears in the 2nd round (38th overall) of the 2001 NFL Draft.,11/7/1977
Justin Hunter,6,4,203,Tennessee,Ocean Lakes,VA,Tennessee Titans,Draft: Tennessee Titans in the 2nd round (34th overall) of the 2013 NFL Draft.,
Derek Hagan,6,2,210,Arizona St.,Palmdale,CA,Miami Dolphins,Draft: Miami Dolphins in the 3rd round (82nd overall) of the 2006 NFL Draft.,
Jake Ballard,6,6,256,Ohio St.,Springboro,OH,,"Twitter:
@TheJakeBallard
",
Darius Watts,6,2,188,Marshall,Banneker,GA,Denver Broncos,Draft: Denver Broncos in the 2nd round (54th overall) of the 2004 NFL Draft.,
Terance Mathis,5,10,177,New Mexico,Redan,GA,New York Jets,Draft: New York Jets in the 6th round (140th overall) of the 1990 NFL Draft.,
Josh Jacobs,5,10,223,Alabama,McLain,OK,Oakland Raiders,Draft: Oakland Raiders in the 1st round (24th overall) of the 2019 NFL Draft.,
Earnest Graham,5,9,225,Florida,Mariner,FL,,"Twitter:
@EarnestGraham
",
